19.2,13.6
0.0,3.2
19.6,8.0
16.6,10.6
9.4,5.4
1.0,3.0
13.6,3.6
10.8,3.2
5.0,6.8
19.6,8.6
8.2,17.0
2.8,15.2
14.2,8.6
16.2,8.8
0.6,8.0
16.8,9.0
19.2,19.0
5.8,13.8
2.4,0.8
1.2,8.0
17.6,11.0
9.2,6.6
14.8,11.0
13.6,15.6
8.0,16.2
5.0,11.4
17.0,14.6
8.8,7.2
13.4,6.4
19.0,17.0
10.2,11.6
18.4,17.8
6.4,0.2
16.0,3.0
8.2,15.4
11.8,3.0
18.2,8.8
14.8,8.0
4.0,9.8
18.6,13.0
14.8,3.0
6.4,19.4
0.6,8.4
7.0,8.0
18.4,8.6
11.6,0.2
0.8,2.2
5.8,12.4
12.0,18.6
19.2,19.4
5.0,5.8
18.0,13.0
11.4,3.6
3.2,16.8
10.6,1.2
8.6,10.8
13.6,9.0
4.6,6.8
1.2,4.6
7.4,11.8
8.4,18.4
18.8,9.4
13.0,0.8
15.8,2.4
3.6,10.6
17.4,0.8
12.6,0.0
5.0,14.0
15.8,8.0
5.2,16.6
0.2,14.8
10.6,13.2
17.0,0.6
19.6,16.0
4.4,6.6
14.0,12.8
19.6,10.4
16.8,5.2
16.2,17.8
13.0,16.8
7.6,13.4
18.2,12.6
19.0,8.4
5.8,4.0
15.0,6.6
4.0,3.8
5.6,1.2
7.2,3.2
18.0,4.8
2.4,2.2
12.8,7.2
9.0,9.4
18.0,4.0
9.6,0.6
19.2,7.8
15.2,11.8
2.6,18.8
17.4,18.2
16.2,12.4
2.4,6.0
